REGION,EMPRESA,CONTRACTS
AMAZONAS,10167681978,1
AMAZONAS,20136318323,1
AMAZONAS,20148020966,1
AMAZONAS,20270971891,2
AMAZONAS,20450119254,2
AMAZONAS,20450157008,1
AMAZONAS,20450186440,1
AMAZONAS,20450278051,1
AMAZONAS,20450326713,6
AMAZONAS,20453649840,1
AMAZONAS,20477530665,1
AMAZONAS,20479683728,2
AMAZONAS,20479764728,5
AMAZONAS,20479790303,3
AMAZONAS,20479840688,1
AMAZONAS,20480009755,1
AMAZONAS,20480052090,2
AMAZONAS,20480134142,1
AMAZONAS,20480188404,1
AMAZONAS,20480214928,1
AMAZONAS,20480391200,1
AMAZONAS,20480427913,4
AMAZONAS,20480590661,1
AMAZONAS,20480774397,1
AMAZONAS,20480791305,2
AMAZONAS,20480811934,1
AMAZONAS,20480836252,6
AMAZONAS,20487419754,1
AMAZONAS,20487499685,5
AMAZONAS,20487592545,1
AMAZONAS,20487611191,1
AMAZONAS,20487818535,1
AMAZONAS,20487909336,1
AMAZONAS,20487980634,1
AMAZONAS,20488057287,2
AMAZONAS,20493987195,1
AMAZONAS,20494079713,2
AMAZONAS,20495136231,1
AMAZONAS,20495973981,1
AMAZONAS,20523790324,1
AMAZONAS,20528217461,1
AMAZONAS,20534166240,1
AMAZONAS,20539013441,2
AMAZONAS,20539016629,1
AMAZONAS,20539183878,1
AMAZONAS,20539201281,3
AMAZONAS,20539273605,2
AMAZONAS,20542271834,1
AMAZONAS,20542312450,1
AMAZONAS,20552390025,1
AMAZONAS,20561152005,4
AMAZONAS,20563373009,1
AMAZONAS,20570757831,1
AMAZONAS,20570818644,2
AMAZONAS,20572141986,1
AMAZONAS,20600147600,1
AMAZONAS,20600162412,1
AMAZONAS,20600504500,2
AMAZONAS,20600542525,2
AMAZONAS,20600798937,1
AMAZONAS,20600924169,2
AMAZONAS,20601649161,1
AMAZONAS,20601832811,1
AMAZONAS,20602272304,1
AMAZONAS,20602371442,2
AMAZONAS,20602570534,1
AMAZONAS,20602698409,1
AMAZONAS,20602979173,2
AMAZONAS,20603512040,1
AMAZONAS,20604115923,2
AMAZONAS,20604434972,1
AMAZONAS,20604451648,1
AMAZONAS,20604775010,1
AMAZONAS,20605899227,1
AMAZONAS,20608056026,1
AMAZONAS,20608518763,1
AMAZONAS,99000027401,1
ANCASH,10166241141,1
ANCASH,10214140042,3
ANCASH,10273601398,1
ANCASH,20101031854,1
ANCASH,20107211480,1
ANCASH,20126533447,1
ANCASH,20136318323,1
ANCASH,20144691173,1
ANCASH,20172889540,1
ANCASH,20227233321,1
ANCASH,20260236611,5
ANCASH,20266458089,1
ANCASH,20274419637,1
ANCASH,20319536699,1
ANCASH,20323041092,6
ANCASH,20339480932,3
ANCASH,20407011920,1
ANCASH,20407769407,1
ANCASH,20407811705,1
ANCASH,20407851677,1
ANCASH,20407863250,6
ANCASH,20407871279,1
ANCASH,20407893248,1
ANCASH,20407909268,1
ANCASH,20407978588,1
ANCASH,20407987650,1
ANCASH,20408010498,2
ANCASH,20408018804,8
ANCASH,20408061726,1
ANCASH,20408114943,1
ANCASH,20408130396,1
ANCASH,20408135517,1
ANCASH,20440352431,1
ANCASH,20445292541,2
ANCASH,20445328597,1
ANCASH,20445464261,1
ANCASH,20445549411,1
ANCASH,20445558592,2
ANCASH,20445572668,1
ANCASH,20445575411,4
ANCASH,20445582973,2
ANCASH,20445585051,1
ANCASH,20445629015,2
ANCASH,20445653234,1
ANCASH,20445667618,1
ANCASH,20445676790,1
ANCASH,20445685438,1
ANCASH,20445695310,1
ANCASH,20445700178,1
ANCASH,20445710211,1
ANCASH,20449294492,1
ANCASH,20450157008,1
ANCASH,20453649840,2
ANCASH,20461192077,3
ANCASH,20477160710,5
ANCASH,20477886095,1
ANCASH,20478157976,1
ANCASH,20480139705,1
ANCASH,20480479557,1
ANCASH,20481520585,1
ANCASH,20481605491,1
ANCASH,20481871027,1
ANCASH,20483795590,1
ANCASH,20486290910,3
ANCASH,20486397714,1
ANCASH,20486419971,2
ANCASH,20486554160,1
ANCASH,20486960401,1
ANCASH,20487110141,2
ANCASH,20488252578,2
ANCASH,20488351398,5
ANCASH,20488415973,1
ANCASH,20489371791,1
ANCASH,20489466741,1
ANCASH,20489528283,1
ANCASH,20489532981,1
ANCASH,20489536979,1
ANCASH,20489557976,1
ANCASH,20489585325,1
ANCASH,20494299161,1
ANCASH,20494713609,2
ANCASH,20495675611,4
ANCASH,20504220461,1
ANCASH,20505621159,1
ANCASH,20506003351,1
ANCASH,20507991662,1
ANCASH,20514413542,1
ANCASH,20516256096,1
ANCASH,20516419572,1
ANCASH,20517623394,1
ANCASH,20523814363,1
ANCASH,20528901361,1
ANCASH,20529066521,1
ANCASH,20529104988,1
ANCASH,20529202998,1
ANCASH,20529359625,1
ANCASH,20530585078,1
ANCASH,20530592520,11
ANCASH,20530706398,4
ANCASH,20530813127,1
ANCASH,20530835104,1
ANCASH,20530862764,2
ANCASH,20530933882,3
ANCASH,20530954022,1
ANCASH,20530990681,6
ANCASH,20531000316,1
ANCASH,20531055722,1
ANCASH,20531064047,1
ANCASH,20531065019,4
ANCASH,20531084072,4
ANCASH,20531089627,1
ANCASH,20531092504,1
ANCASH,20531608756,1
ANCASH,20531737645,1
ANCASH,20531750749,1
ANCASH,20531754736,1
ANCASH,20531820542,2
ANCASH,20531884435,1
ANCASH,20531891725,1
ANCASH,20531897413,2
ANCASH,20531927851,1
ANCASH,20532002819,2
ANCASH,20532033293,1
ANCASH,20532056315,3
ANCASH,20533086510,1
ANCASH,20533621768,1
ANCASH,20533631305,2
ANCASH,20533651918,1
ANCASH,20533652213,1
ANCASH,20533675183,1
ANCASH,20533693327,1
ANCASH,20533729615,2
ANCASH,20533744509,2
ANCASH,20533751386,2
ANCASH,20533778233,1
ANCASH,20533786333,1
ANCASH,20533788891,3
ANCASH,20533923004,1
ANCASH,20533946471,1
ANCASH,20533974415,3
ANCASH,20534010151,1
ANCASH,20534013508,1
ANCASH,20534013923,5
ANCASH,20534016949,3
ANCASH,20534022914,1
ANCASH,20534027126,2
ANCASH,20534040068,1
ANCASH,20534098732,1
ANCASH,20534121734,1
ANCASH,20534142227,1
ANCASH,20534145757,1
ANCASH,20534157500,2
ANCASH,20534158069,5
ANCASH,20534165278,1
ANCASH,20534166240,3
ANCASH,20534171910,1
ANCASH,20534197986,1
ANCASH,20534489685,4
ANCASH,20534976322,1
ANCASH,20536147871,1
ANCASH,20536351303,1
ANCASH,20539979885,1
ANCASH,20541445553,1
ANCASH,20541616382,2
ANCASH,20541666487,1
ANCASH,20541674820,1
ANCASH,20541706454,3
ANCASH,20541769537,1
ANCASH,20541776584,1
ANCASH,20542022290,1
ANCASH,20542030802,1
ANCASH,20542040786,1
ANCASH,20542044340,1
ANCASH,20542049228,8
ANCASH,20542072637,1
ANCASH,20542073013,1
ANCASH,20542083167,1
ANCASH,20542083329,2
ANCASH,20542132982,2
ANCASH,20542141116,1
ANCASH,20542166020,2
ANCASH,20542169550,1
ANCASH,20542181924,3
ANCASH,20542191059,7
ANCASH,20542438984,2
ANCASH,20542531097,1
ANCASH,20544063392,1
ANCASH,20544771478,3
ANCASH,20544798911,2
ANCASH,20545337305,1
ANCASH,20545404851,1
ANCASH,20545512662,1
ANCASH,20548656606,1
ANCASH,20549010114,1
ANCASH,20549761608,2
ANCASH,20553453845,1
ANCASH,20559538052,1
ANCASH,20568223307,1
ANCASH,20569181756,9
ANCASH,20569209782,1
ANCASH,20569325260,1
ANCASH,20571131464,3
ANCASH,20571135885,5
ANCASH,20571153867,3
ANCASH,20571160995,1
ANCASH,20571184151,3
ANCASH,20571238269,1
ANCASH,20571250552,2
ANCASH,20571263298,1
ANCASH,20571273501,3
ANCASH,20571288363,1
ANCASH,20571309891,4
ANCASH,20571357438,1
ANCASH,20571395283,8
ANCASH,20571395364,10
ANCASH,20571420067,3
ANCASH,20573264097,1
ANCASH,20600044207,1
ANCASH,20600095936,2
ANCASH,20600140893,1
ANCASH,20600180771,1
ANCASH,20600194420,1
ANCASH,20600253027,1
ANCASH,20600285956,1
ANCASH,20600309481,1
ANCASH,20600392892,1
ANCASH,20600403207,2
ANCASH,20600454693,1
ANCASH,20600459211,1
ANCASH,20600471962,1
ANCASH,20600683650,4
ANCASH,20600697162,1
ANCASH,20600770226,2
ANCASH,20600805348,1
ANCASH,20601050987,1
ANCASH,20601052980,1
ANCASH,20601080843,1
ANCASH,20601175411,1
ANCASH,20601293618,1
ANCASH,20601485088,3
ANCASH,20601568561,3
ANCASH,20601649161,1
ANCASH,20601994322,1
ANCASH,20602002285,1
ANCASH,20602214959,1
ANCASH,20602406939,1
ANCASH,20602541216,1
ANCASH,20602578501,1
ANCASH,20602691528,1
ANCASH,20602794769,1
ANCASH,20602797016,1
ANCASH,20602820697,1
ANCASH,20603063326,1
ANCASH,20603092440,1
ANCASH,20603096763,1
ANCASH,20603321309,2
ANCASH,20603354185,2
ANCASH,20603373945,1
ANCASH,20603403569,1
ANCASH,20603432224,1
ANCASH,20603757387,1
ANCASH,20603967055,1
ANCASH,20604091382,1
ANCASH,20604129240,1
ANCASH,20604155828,1
ANCASH,20604232610,1
ANCASH,20604332886,1
ANCASH,20604803595,1
ANCASH,20604920818,1
ANCASH,20605106910,1
ANCASH,20605233083,2
ANCASH,20605308423,2
ANCASH,20605408631,1
ANCASH,20605432477,1
ANCASH,20605871420,1
ANCASH,20605992146,1
ANCASH,20606854081,1
ANCASH,20607764621,1
ANCASH,20607925136,1
ANCASH,20607977454,1
ANCASH,20608456857,1
ANCASH,20608495267,2
ANCASH,20608582801,1
ANCASH,20608705334,1
ANCASH,20609991969,1
APURIMAC,10238862570,1
APURIMAC,20396681651,1
APURIMAC,20494740673,1
APURIMAC,20495675611,1
APURIMAC,20527267511,1
APURIMAC,20527479704,2
APURIMAC,20527760071,1
APURIMAC,20527814261,1
APURIMAC,20535757811,1
APURIMAC,20564340384,1
APURIMAC,20600223837,1
AREQUIPA,20101884407,1
AREQUIPA,20134676508,1
AREQUIPA,20191808241,1
AREQUIPA,20261295246,2
AREQUIPA,20264545812,1
AREQUIPA,20300690999,1
AREQUIPA,20344483702,1
AREQUIPA,20371131664,1
AREQUIPA,20393438941,1
AREQUIPA,20434839867,1
AREQUIPA,20447654203,3
AREQUIPA,20447714036,1
AREQUIPA,20447760143,1
AREQUIPA,20447781655,2
AREQUIPA,20447909716,1
AREQUIPA,20447909805,1
AREQUIPA,20450519783,1
AREQUIPA,20454785992,2
AREQUIPA,20455394741,1
AREQUIPA,20455430489,1
AREQUIPA,20455703558,3
AREQUIPA,20456315918,1
AREQUIPA,20456317376,5
AREQUIPA,20456323007,2
AREQUIPA,20485839462,1
AREQUIPA,20489517320,2
AREQUIPA,20511866481,1
AREQUIPA,20512419837,1
AREQUIPA,20527026238,1
AREQUIPA,20533979727,3
AREQUIPA,20534029927,1
AREQUIPA,20534297930,1
AREQUIPA,20545512662,1
AREQUIPA,20547097069,1
AREQUIPA,20548123888,1
AREQUIPA,20548865604,1
AREQUIPA,20551773923,1
AREQUIPA,20563373009,1
AREQUIPA,20571505488,1
AREQUIPA,20574662517,1
AREQUIPA,20600044622,2
AREQUIPA,20600178271,1
AREQUIPA,20600408888,1
AREQUIPA,20600678605,1
AREQUIPA,20600731611,1
AREQUIPA,20600929438,1
AREQUIPA,20601116082,1
AREQUIPA,20604675198,2
AREQUIPA,99000027401,2
AREQUIPA,99000028327,1
AYACUCHO,20102008066,1
AYACUCHO,20144691173,1
AYACUCHO,20218090550,1
AYACUCHO,20407412592,1
AYACUCHO,20476423539,1
AYACUCHO,20486404273,2
AYACUCHO,20486792001,1
AYACUCHO,20489517320,1
AYACUCHO,20489536979,1
AYACUCHO,20494226287,1
AYACUCHO,20494336112,1
AYACUCHO,20494397090,1
AYACUCHO,20494485118,1
AYACUCHO,20494637074,1
AYACUCHO,20494740673,1
AYACUCHO,20494947774,1
AYACUCHO,20517562158,1
AYACUCHO,20517623394,1
AYACUCHO,20527026238,1
AYACUCHO,20528917951,1
AYACUCHO,20534576146,1
AYACUCHO,20534604701,1
AYACUCHO,20534714981,1
AYACUCHO,20557209752,2
AYACUCHO,20574605980,1
AYACUCHO,20574750301,1
AYACUCHO,20600239598,1
AYACUCHO,20601143021,1
AYACUCHO,20604032246,1
CAJAMARCA,20355337619,1
CAJAMARCA,20439586665,1
CAJAMARCA,20453627951,1
CAJAMARCA,20453649840,2
CAJAMARCA,20481813841,1
CAJAMARCA,20495656234,1
CAJAMARCA,20495751229,1
CAJAMARCA,20495865747,3
CAJAMARCA,20495999352,2
CAJAMARCA,20496014686,2
CAJAMARCA,20496021038,2
CAJAMARCA,20496159811,4
CAJAMARCA,20529467606,2
CAJAMARCA,20529486902,1
CAJAMARCA,20529626330,2
CAJAMARCA,20529698918,3
CAJAMARCA,20535757811,1
CAJAMARCA,20554659242,1
CAJAMARCA,20560107006,2
CAJAMARCA,20570531787,1
CAJAMARCA,20600044207,1
CAJAMARCA,20600381726,2
CAJAMARCA,20601116082,1
CAJAMARCA,20601473454,1
CAJAMARCA,20601525594,1
CAJAMARCA,20602340547,1
CALLAO,10086203753,1
CALLAO,10232487149,1
CALLAO,20173126345,1
CALLAO,20232650444,1
CALLAO,20261295246,2
CALLAO,20296637697,1
CALLAO,20335343701,2
CALLAO,20379560742,1
CALLAO,20451738284,1
CALLAO,20476423539,1
CALLAO,20478157976,2
CALLAO,20478169559,3
CALLAO,20486960401,1
CALLAO,20488351398,1
CALLAO,20489539137,1
CALLAO,20489665604,1
CALLAO,20491305542,1
CALLAO,20493043073,7
CALLAO,20496183011,1
CALLAO,20501581951,1
CALLAO,20503953839,1
CALLAO,20506003351,1
CALLAO,20507503889,1
CALLAO,20508794968,1
CALLAO,20511317038,1
CALLAO,20513051833,1
CALLAO,20516080206,3
CALLAO,20517623394,1
CALLAO,20521401703,2
CALLAO,20522385442,1
CALLAO,20525051782,1
CALLAO,20525089917,2
CALLAO,20534004185,1
CALLAO,20542560780,1
CALLAO,20543060918,2
CALLAO,20546240852,1
CALLAO,20547097069,1
CALLAO,20547896026,1
CALLAO,20552671628,1
CALLAO,20553453845,1
CALLAO,20553668027,1
CALLAO,20563329107,1
CALLAO,20571493374,2
CALLAO,20600655095,1
CALLAO,20601500648,1
CALLAO,20602181139,1
CALLAO,20602937934,1
CALLAO,20602979173,1
CALLAO,20603613474,2
CALLAO,20607284033,1
CUSCO,10004912557,1
CUSCO,10475851531,1
CUSCO,20210651706,1
CUSCO,20358000348,1
CUSCO,20399836213,1
CUSCO,20451624432,1
CUSCO,20452440912,1
CUSCO,20452677921,1
CUSCO,20490197771,1
CUSCO,20490348906,1
CUSCO,20490531425,1
CUSCO,20494299161,1
CUSCO,20523071042,1
CUSCO,20524375631,1
CUSCO,20525716342,2
CUSCO,20527109362,1
CUSCO,20527164207,1
CUSCO,20527739030,1
CUSCO,20527942773,1
CUSCO,20528003401,1
CUSCO,20528036164,1
CUSCO,20547097069,1
CUSCO,20564059171,1
CUSCO,20601338361,1
CUSCO,20601665591,1
CUSCO,20602318193,1
HUANCAVELICA,10410713506,3
HUANCAVELICA,20100364701,1
HUANCAVELICA,20101031854,1
HUANCAVELICA,20335343701,1
HUANCAVELICA,20392986601,1
HUANCAVELICA,20451961196,1
HUANCAVELICA,20452840775,1
HUANCAVELICA,20485878018,1
HUANCAVELICA,20486103079,2
HUANCAVELICA,20486132338,1
HUANCAVELICA,20486136830,2
HUANCAVELICA,20486290910,1
HUANCAVELICA,20486298147,1
HUANCAVELICA,20486354829,2
HUANCAVELICA,20486373297,1
HUANCAVELICA,20486397714,1
HUANCAVELICA,20486404273,2
HUANCAVELICA,20486572061,1
HUANCAVELICA,20486604876,1
HUANCAVELICA,20486625954,1
HUANCAVELICA,20486774445,1
HUANCAVELICA,20486815818,1
HUANCAVELICA,20486927888,1
HUANCAVELICA,20486960401,3
HUANCAVELICA,20486970465,2
HUANCAVELICA,20486974886,4
HUANCAVELICA,20486975939,1
HUANCAVELICA,20487064522,1
HUANCAVELICA,20487110141,1
HUANCAVELICA,20487181910,1
HUANCAVELICA,20494341973,4
HUANCAVELICA,20494665876,1
HUANCAVELICA,20494947774,2
HUANCAVELICA,20494951020,4
HUANCAVELICA,20495042333,1
HUANCAVELICA,20503865549,1
HUANCAVELICA,20506003351,1
HUANCAVELICA,20520970704,1
HUANCAVELICA,20529104988,1
HUANCAVELICA,20534839091,1
HUANCAVELICA,20541515195,1
HUANCAVELICA,20541517139,2
HUANCAVELICA,20541518372,1
HUANCAVELICA,20541578430,1
HUANCAVELICA,20543060918,1
HUANCAVELICA,20543764303,3
HUANCAVELICA,20548123888,1
HUANCAVELICA,20568112220,1
HUANCAVELICA,20568275013,1
HUANCAVELICA,20568339607,1
HUANCAVELICA,20568355041,6
HUANCAVELICA,20568394888,1
HUANCAVELICA,20568402732,1
HUANCAVELICA,20568459505,2
HUANCAVELICA,20568844671,1
HUANCAVELICA,20568960662,1
HUANCAVELICA,20574663246,1
HUANCAVELICA,20600112229,1
HUANCAVELICA,20600180771,3
HUANCAVELICA,20600223837,1
HUANCAVELICA,20600601891,1
HUANCAVELICA,20600659503,1
HUANCAVELICA,20600661966,1
HUANCAVELICA,20600977661,1
HUANCAVELICA,20601169941,1
HUANCAVELICA,20601480493,1
HUANCAVELICA,20601593476,1
HUANCAVELICA,20601714966,2
HUANCAVELICA,20603094302,1
HUANCAVELICA,20604152063,1
HUANCAVELICA,20604269009,1
HUANCAVELICA,20604315582,1
HUANCAVELICA,20605034684,1
HUANCAVELICA,20605487051,1
HUANCAVELICA,20606820993,1
HUANCAVELICA,20608145088,1
HUANCAVELICA,99000030216,1
HUANUCO,10805536867,7
HUANUCO,20226217003,1
HUANUCO,20227233321,1
HUANUCO,20392493671,1
HUANUCO,20393081776,3
HUANUCO,20393151812,1
HUANUCO,20393155648,1
HUANUCO,20393353105,5
HUANUCO,20408066281,1
HUANUCO,20445461084,1
HUANUCO,20445782476,1
HUANUCO,20447399840,1
HUANUCO,20455023417,1
HUANUCO,20482471995,1
HUANUCO,20482474587,1
HUANUCO,20486834529,7
HUANUCO,20486960401,1
HUANUCO,20486995450,1
HUANUCO,20489371791,5
HUANUCO,20489432413,2
HUANUCO,20489466741,1
HUANUCO,20489530261,2
HUANUCO,20489532981,5
HUANUCO,20489536979,7
HUANUCO,20489537274,1
HUANUCO,20489544998,2
HUANUCO,20489595045,4
HUANUCO,20489601541,1
HUANUCO,20489613558,2
HUANUCO,20489643627,1
HUANUCO,20489649587,1
HUANUCO,20489660122,1
HUANUCO,20489661951,2
HUANUCO,20489674000,1
HUANUCO,20489680310,1
HUANUCO,20489688647,2
HUANUCO,20489747244,9
HUANUCO,20492255981,1
HUANUCO,20494686369,1
HUANUCO,20495675611,2
HUANUCO,20505096721,1
HUANUCO,20506298301,1
HUANUCO,20510591829,8
HUANUCO,20516615088,1
HUANUCO,20523013603,2
HUANUCO,20527942773,1
HUANUCO,20528905197,3
HUANUCO,20528917951,1
HUANUCO,20528924493,2
HUANUCO,20528932321,1
HUANUCO,20528950494,5
HUANUCO,20529014211,1
HUANUCO,20529066521,2
HUANUCO,20529161353,1
HUANUCO,20529169842,1
HUANUCO,20529202998,1
HUANUCO,20529276843,1
HUANUCO,20529286997,2
HUANUCO,20530806341,1
HUANUCO,20530837816,1
HUANUCO,20531055722,2
HUANUCO,20531065019,1
HUANUCO,20533984992,1
HUANUCO,20534004185,1
HUANUCO,20534013508,2
HUANUCO,20542141116,1
HUANUCO,20542191059,3
HUANUCO,20542408562,3
HUANUCO,20542425653,1
HUANUCO,20542425904,3
HUANUCO,20542449081,1
HUANUCO,20542531097,2
HUANUCO,20542542021,1
HUANUCO,20542559854,1
HUANUCO,20547097069,1
HUANUCO,20565597958,1
HUANUCO,20571184151,1
HUANUCO,20573008414,1
HUANUCO,20573041977,1
HUANUCO,20573078897,3
HUANUCO,20573140959,2
HUANUCO,20573177879,1
HUANUCO,20573247249,1
HUANUCO,20573247591,1
HUANUCO,20573263104,1
